uploaded_date,video_title,youtube_id,sample_position,timestamp,window,youtube_url,agreement_score,native_segment_count,youtube_segment_count,native_text,youtube_caption_text,possible_names_native,possible_names_youtube,possible_word_or_name_differences,issues,review_priority
2025-04-19,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",2zzyqxWzQuc,late,01:40:22,01:39:52–01:40:52,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=6022s,0.239,13,22,"Oh, they don't stream that stage? It wasn't stream at all, but they streamed it last week. Ugh. Oh, they switched it. They usually stream that stage. They're streaming Yuma instead of Sonora in weekend two. Dude. I'm ready for the prodigy now. In my heart, I can... March. In my soul, I just hear... Bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum bum…","even if it was not live. Oh, they don't stream that stage. It wasn't streamed at all, but they streamed it last week. That means that that stream didn't exist on your channel. Booster. Oh, they switched it. They usually stream that stage. They are streaming Yuma instead of Sonora in Weekend 2, dude. I'm ready for the Prodigy now. In my heart, I can I'm going to be so real. I got like 10 minutes before I got Marsh in my soul. I just hear 40 minutes. I need to go. Yeah. Um, let's let's have the tour manager. You got…",,,stream → streamed; They're → They are; two → 2,heavy repetition; caption disagreement,7
2021-07-27,"1/2 HasanAbi July 26, 2021 – Hachubby Shake Shack Drama, DaBaby dodges shoe, DELTA Variant spreads",In2iYbpNHp8,early,00:10:20,00:09:50–00:10:50,https://www.youtube.com/watch?v=In2iYbpNHp8&t=620s,,0,10,,[Music] covered two foggers [Music] he can't eat it [Music] [Music] i am [Music] one year of molding and [Music],,,,Whisper missed captioned speech,5
2021-08-06,"1/2 HasanAbi August 5, 2021 – Crowder gets surgury, Fauci on Delta, Bill Gates on Epstein, ICU Vlogs",3ha9GYJvlrQ,early,00:06:17,00:05:47–00:06:47,https://www.youtube.com/watch?v=3ha9GYJvlrQ&t=377s,,0,10,,seven months down many more to go [Music] let's go [Music] any chatters [Music] [Music] [Music] [Music] looking great today chad three,,,,Whisper missed captioned speech,5
2021-12-13,"1/2 HasanAbi November 18, 2021 – Hasan gets a Haircut, Ahmaud Arbery & Rittenhouse Trials, CHANNEL 5",Yda6HZ0biOU,early,00:11:06,00:10:36–00:11:36,https://www.youtube.com/watch?v=Yda6HZ0biOU&t=666s,,0,12,,[Music] i gently has for her gonna go watch some videos and just do a lot of commentary on a stream it's all a meme so now what are we waiting for [Music] i bet [Music] [Music],,,,Whisper missed captioned speech,5
2024-11-16,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,MnCX6pnvxcc,early,00:09:02,00:08:32–00:09:32,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=542s,,0,7,,he [Music] [Music] [Music] [Music] he [Music],,,,Whisper missed captioned speech,5
2025-04-19,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",2zzyqxWzQuc,middle,00:52:49,00:52:19–00:53:19,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=3169s,,0,8,,[Music] Lucky just [Music] Happy the [Music] [Music] [Music] Yeah. Woo.,,,,Whisper missed captioned speech,5
2021-12-31,"1/2 HasanAbi December 30, 2021 – LeBrons Insta Meme, Dershowitz on Maxwell Verdict, Tesla Recall",GpukXqD5DME,early,00:11:23,00:10:53–00:11:53,https://www.youtube.com/watch?v=GpukXqD5DME&t=683s,0.042,1,13,months when will the brain rot set in I'm waiting I just got my shirt but it's,yeah how are we gonna celebrate he's back i know thanks god i miss him how's he don't know he'll dream i hope his life i know yeah thanks god i mean he tweet he's back let's go let's go let's go let's go on christmas fighting with the barbs then we bought a housemate she was going good man we need my car going to a disney park [Music] hoping for a gift let my himbo be free,,,,strong caption disagreement,4
2021-04-19,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",GSFoXDxBzyM,late,03:23:06,03:22:36–03:23:36,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=12186s,0.615,11,20,don't fucking get yours the fucking cruisers fix helicopters dude i can't fucking can't i buy you guys are cringe i'll see you gotta be an ms uh just fucking send me no just fucking send me no okay you know just fucking send me no just do that bro it's it's funny because it's like it's like mickey blast toys role playing as a character mickey who is role playing uh as uh xqc's role play that uh sounds like fucking myth doing an xqc impression this is the most kajimbo shit he sounds like fucking myth doing uh xqc h…,six helicopters dude ah i can't [ __ ] can't i but you guys are cringing oh see you go to bananas uh just [ __ ] send me [ __ ] excitement no just [ __ ] send me nah okay you know what just [ __ ] sent me no just do that bro it's it's funny because it's like it's like mickey blast toys role-playing is a character mickey who is role-playing uh as uh xqc's play that uh sounds like [ __ ] myth doing an xqc impression this is the most kajimbo [ __ ] [ __ ] question straight up he sounds like [ __ ] myth doing uh xqc h…,Myth,Myth,fucking → __; buy → but; cringe i'll → cringing oh; gotta be an ms → go to bananas; fucking → __,caption disagreement,3
2021-05-28,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",UE7qFMkq8fk,middle,01:05:23,01:04:53–01:05:53,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=3923s,0.604,2,10,and joking dude really this map is insanity she's back and she's got fucking hats on her gun,[Music] thanks chad [Music] thank you this is oh my g are you [ __ ] joking dude really this map is insanity is this a [Music] she's back and she's got [ __ ] hats on her gun,,,fucking → __,caption disagreement,3
2021-06-13,"1/2 HasanAbi June 12, 2021 – E3!, Mormon Church REACT, Guess Whos the Sex Worker & Cheerleader REACT",Z8_DfMXbL1Q,middle,01:36:14,01:35:44–01:36:44,https://www.youtube.com/watch?v=Z8_DfMXbL1Q&t=5774s,0.607,5,15,"Who isn't afraid to slaughter to get what he wants Wait, what was racist? Is this a test? I want to know what the baiters thought I was uh, a saying was racist Oh, all right me saying al turned that shit up charles Yeah",peekaboo [ __ ] what the [ __ ] am i what i too am a king who isn't afraid to slaughter to get what he wants wait what was racist i want to know what the baiters thought i was uh saying was racist then i will not waste it oh me saying ayo turn that [ __ ] up charles [Music] what the [ __ ] did i ever tell you the definition,,,al turned → ayo turn,caption disagreement,3
