canonical_or_candidate,observed_form,candidate_type,confidence,suggested_reference_name,reference_similarity,sources,sample_occurrences,first_video,first_timestamp,first_youtube_url,first_context
Donald Trump,Donald Trump,unverified_candidate,high,Donald Trump,1.0,Whisper; YouTube captions,9,"1/2 HasanAbi March 22, 2022 – SCOTUS Senate Hearing, China Boeing 737 Crash w/ Austin, Trump on UA🇺🇦",03:11:18,https://www.youtube.com/watch?v=6UU4mD3d90Q&t=11478s,"…r certain reasons it's very hard to bury them because of what they're made of, especially the blade. So, you know, but the wind is very... Bro, Donald Trump fucking despises wind turbines. It's so funny. Like what happened? My man is the Don Quixote of fucking... He's a Don Quixote of renewable ener…"
New York,New York,unverified_candidate,high,New York,1.0,Whisper; YouTube captions,9,"1/2 HasanAbi June 12, 2021 – E3!, Mormon Church REACT, Guess Whos the Sex Worker & Cheerleader REACT",00:51:57,https://www.youtube.com/watch?v=Z8_DfMXbL1Q&t=3117s,"The parasite has spread to three new regions Emerging and several containment zones within New York, San Francisco and Alaska This is what we know so far Within the containment zones the alien ecosystem is in a continual evolution As incubation…"
United States,United States,unverified_candidate,high,United States,1.0,Whisper; YouTube captions,8,"1/2 HasanAbi July 26, 2021 – Hachubby Shake Shack Drama, DaBaby dodges shoe, DELTA Variant spreads",01:43:20,https://www.youtube.com/watch?v=In2iYbpNHp8&t=6200s,…g to bet that a lot of countries have a higher percentage of people that want to get the vaccine that can't get the vaccine right now than the United States where everyone could get the vaccine if they wanted to. They just choose not to at this point. Anyone who had a ticket could enjoy the views f…
Democratic Party,Democratic Party,unverified_candidate,medium,,0.593,Whisper; YouTube captions,5,"2/2 HasanAbi March 1, 2022 – Biden State of the Union, 🎮Elden Ring🎮",03:09:05,https://www.youtube.com/watch?v=xlKXxrwRKak&t=11345s,"…ly, there is a... I can... Okay, while this is all going on, there is a... Jessica Cisneros, Henry Cuellar, face-off going in the first major Democratic Party clash of 2022. And it turns out polls in Texas closed at 7 p.m. local time, and Jessica Cisneros has been leading, even though Henry Cuellar…"
Fox News,Fox News,unverified_candidate,medium,,0.625,Whisper; YouTube captions,5,"1/2 HasanAbi December 30, 2021 – LeBrons Insta Meme, Dershowitz on Maxwell Verdict, Tesla Recall",02:46:13,https://www.youtube.com/watch?v=GpukXqD5DME&t=9973s,"Dude Fox News had better Journalistic integrity then the BBC I'm dying. I'm a oh oh my god. Oh My god. Oh, I'm so glad we saw this Fox News had better Journali…"
Joe Biden,Joe Biden,unverified_candidate,medium,,0.667,Whisper; YouTube captions,5,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",01:18:30,https://www.youtube.com/watch?v=RP8ec-blRTw&t=4710s,"…e wasn't a government employee. He was a dude with a drug problem, a rich dude in the son of a politician, but just to do. Okay. Hunter Biden is Joe Biden's son. You should be able to let mainstream media and like other journalistic outlets to cover that story without revealing the private side of…"
Bernie Sanders,Bernie Sanders,canonical_or_alias,high,Bernie Sanders,1.0,Whisper; YouTube captions,4,"HasanAbi November 29, 2022 – RAIL STRIKE, US vs Iran ⚽, Liver King isn't natty?, Crowder on Kanye",03:46:14,https://www.youtube.com/watch?v=AYjjdzauaao&t=13574s,"this, but there was only one person voted against that Bernie Sanders also voted to and functionally supported the fucking war in Afghanistan. It's just a it's yet another one of those like interesting stories wh…"
Joe Rogan,Joe Rogan,canonical_or_alias,high,Joe Rogan,1.0,Whisper; YouTube captions,4,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",04:39:12,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=16752s,…or something yes honey fuck you because i'm really trying to see how long you can get away with it now that you're here cute girl it's time for joe rogan yes asan okay i you miss one of renly's memes no i didn't no i i i saw the zelda one already bro we i've looked at so many holy shit can you loo…
Hillary Clinton,Hillary Clinton,unverified_candidate,medium,,0.562,Whisper; YouTube captions,3,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",03:32:17,https://www.youtube.com/watch?v=RP8ec-blRTw&t=12737s,…what you think happened You know the world's like most prolific Socialite sex trafficker that literally was like homies will fucking Bill and Hillary Clinton who had Chelsea Clinton come
Jeffrey Epstein,Jeffrey Epstein,unverified_candidate,medium,,0.643,Whisper; YouTube captions,3,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",03:32:17,https://www.youtube.com/watch?v=RP8ec-blRTw&t=12737s,"…esome quote Yeah, sorry. I just I was like thinking about it from the point of like, you know a normal human being who it does not think that Jeffrey Epstein killed himself because You know Jeffrey Epstein's not the type of dude who was like, oh man. I'm so sad. I'm so fucking depressed I'm listeni…"
