observed_form,possible_correction,similarity,assessment,source,video_title,timestamp,youtube_url,context
Abdul El Sayed,Abdul El-Sayed,1.0,normalization only; verify preferred hyphenation,Whisper,"HasanAbi April 3, 2026 –",06:09:28,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,"…white woman. You can't make that same argument about them. You can make it. However, about Zoram, I'm Donnie, you can make that argument about Abdul El Sayed. You can make that argument about myself. And that is because there is a lot of unexamined Islamophobia. I don't talk about it too much becaus…"
Austin,AustinShow,1.0,"alias, not necessarily an error; spoken first name may be correct",Whisper,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,01:30:27,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=5427s,"…shiftiness with a little bit of a floater The rebound Man that rims getting a lot of attention today wake. Oh Man, and if a rims getting attention Austin knows about it That's right, man nil nil here Hey Zero-point scored on 42 shots 2-1 coming away with the first two points first two points of the…"
Emma Vigland,Emma Vigeland,0.96,likely spelling error,YouTube captions,"HasanAbi April 3, 2026 –",06:09:28,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,"[ __ ] mind."" Emma Vigland for example you know majority report Sam Cedar is Jewish Emma Vigland is a white woman you can't make that same argument about them you can mak…"
Bradley Martin,Bradley Martyn,0.929,likely spelling error,Whisper,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",00:20:34,https://www.youtube.com/watch?v=i8YmtStCJJo&t=1234s,"…ffee hour podcast that I did. You got some friends who are into lifting who are in the bro culture, lifting stuff like that. You send them the Bradley Martin podcast because I am a collection of all of those things genuinely, right? I have, I have all of these different interests that I,"
Carl Marx,Karl Marx,0.889,likely spelling error,Whisper,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",03:34:32,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=12872s,"…even happen, dude? 400. I'm not sure if you saw this. This one's going to get people roaring, dude. Who wrote Daz Capital? We saw this already. Carl Marx! So sad to see these teenage dads. This was ill prepared. They didn't go this far. No, it's nice because Assange's helicopter pad is really dirt…"
New Yorker,New York,0.889,likely false fuzzy match,Whisper,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…nd hide yourself from the world, to try and live only inside of city hall or in your armored vehicle, but we always know that to best understand New Yorkers you have to live like New Yorkers, and that's why I'll take the train, I'll get on the bus, I'll ride a bike, I'll walk around because if I'm o…"
Aiden Ross,Adin Ross,0.842,likely spelling error,Whisper,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",00:06:32,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=392s,…dy said the one where they said you dressed like you're poor The thing you're just getting death threats is low We got a bunch after him calling Aiden Ross a normie Dude the the people that want to murder me are a little bit different than like 14-year-old kids on the internet Who act like they're b…
Alex Prey,Alex Press,0.842,possible spelling error; context check required,YouTube captions,"HasanAbi January 25, 2026 – Back in LA!",05:24:11,https://www.youtube.com/watch?v=yJw1IWPR9Ms&t=19451s,"…ason than to obscure their identity and prevent accountability. Obviously, the shootings are unjustified. But the entire situation that recently Alex Prey unfortunately found himself in and the woman next to him, they should not have been pushed aside by these puditive federal officers for exercisi…"
New Yorkers,New York,0.842,likely false fuzzy match,Whisper,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…d hide yourself from the world, to try and live only inside of city hall or in your armored vehicle, but we always know that to best understand New Yorkers you have to live like New Yorkers, and that's why I'll take the train, I'll get on the bus, I'll ride a bike, I'll walk around because if I'm o…"
Bernard Sanders,Bernie Sanders,0.828,likely correct legal name in this context,Whisper,"HasanAbi October 16, 2019 –",00:26:40,https://www.youtube.com/watch?v=wHzUpCARHQ8&t=1600s,78 year old man by the name of Bernard Sanders by way of brooklyn what a night what a night for Bernie Sanders no I'm gonna lie after the hard thing I was getting really discouraged and re…
World War,Cold War,0.824,likely false fuzzy match,Whisper,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",03:48:56,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=13736s,…hatter is so fucking stupid dude. No I know I know I know I literally mentioned this. I mentioned this story. I did. Yo dudes on back please not World War three. Yeah. World War three
