uploaded_date,video_title,youtube_id,sample_position,timestamp,window,youtube_url,agreement_score,native_segment_count,youtube_segment_count,native_text,youtube_caption_text,possible_names_native,possible_names_youtube,possible_word_or_name_differences,issues,review_priority
2021-04-19,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",GSFoXDxBzyM,early,00:10:41,00:10:11–00:11:11,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=641s,0.828,9,25,grant have thought a roleplay server for those of you who still do not know and and uh then it turned into the vaults being robbed immediately and like putting together an elaborate plan immediately and um that ended up fucking up the uh the uh p.o. box okay buddy stuff and but afterwards i think a lot of people that stuck i think a lot of people that stood around and stuck around and uh hung out uh probably enjoyed it a lot and the reason why i assume they enjoyed it a lot is because uh there was a lot of fucking…,on uh no pixel the uh grand theft auto role play server for those of you who still do not know and and uh then it turned into the vault being robbed immediately and like putting together an elaborate plan immediately and um that ended up [ __ ] up the uh the po box okay buddy stuff but afterwards i think a lot of people that stuck i think a lot of people that stood around and stuck around and uh hung out uh probably enjoyed it a lot and the reason why i assumed they enjoyed it a lot is because uh there was a lot o…,,,vaults → vault; fucking → __; uh p o → po; assume → assumed; fucking → __,,0
2021-04-19,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",GSFoXDxBzyM,first_quarter,00:57:43,00:57:13–00:58:13,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=3463s,0.899,35,32,"but Nissan actually had the best selling electric vehicle for a while with the leaf. So they are one of the In 2.0 Summit loved the GTR and bought one and sold it last year because of RP. Shut, okay. Well, wait. Summit literally went and bought a fucking GTR. Well, he also has a hundred thousand dollar fucking mouse. Okay. He's living in a different planet than I am. All right. I'm glad he bought a GTR. I don't understand a hundred thousand dollar mouse. Someone, oh, I know Koenigsegg. Yes. I know this. There's li…",mainstream but nissan actually had the best-selling electric vehicle for a while with the leaf so they are one of the open 2.0 summit love the gtr and bought one and sold it last year because rp shut okay well wait summit literally went and bought a [ __ ] gti well he also has a hundred thousand dollar [ __ ] mouse okay he's living in a different planet than than uh i am all right glad he bought a gtr i don't understand 100 000 someone oh i know koenigsegg yes i i know this there's like four of these cars though y…,The Koenigsegg; Turkish Mili,,In → open; loved → love; fucking GTR → __ gti; fucking → __; a hundred thousand dollar mouse → 100 000,,0
2021-04-19,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",GSFoXDxBzyM,middle,01:46:54,01:46:24–01:47:24,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=6414s,0.915,9,28,life fishpats Delta MD skincare UV clear broad spectrum SPS 46 daily moisture lightweight poor minimizing moisturizer for normal or oily skin what the fuck is this dude this shit looks like what is this a science experiment dude like what am I putting on my face right now there's like literal nanomachines dude okay I gotta pee I'll be back in one second okay we're doing an intermission here and there's a one-minute ad break coming up right now as well so at 22 minutes and 46 seconds the PO box will be returning in…,pants md skin care uv clear broad spectrum sps 46 daily moisture lightweight poor minimizing moisturizer for normal or oily skin what the [ __ ] is this dude this [ __ ] looks like what is this a science experiment dude like what am i putting on my face right now [Music] love you there's like literal nano machines dude okay i gotta pee i'll be back in one second okay we're doing an intermission here and there's a one minute ad break coming up right now as well so at 22 minutes and 46 seconds the po box will be ret…,Delta MD,,life fishpats Delta → pants; skincare → skin care; nanomachines → nano machines,,0
2021-04-19,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",GSFoXDxBzyM,third_quarter,02:36:04,02:35:34–02:36:34,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=9364s,0.895,23,32,"I made a deck around the preview card from a song. Win, scroll, shaman. Little bit hard to pronounce for German, but it's all right. Win, scroll, shaman. I built a deck around that and I played an historic event with it where you can win gold. And I will use that gold to get a very interesting emote. You see it here. Of course, it's the complicated emote. You see that this costs 5,000 gold to get it. I right now have 4,800. So I need to get a few wins in this mode to win enough gold to get this emote. And of cours…",card hello i love this community awesome i made a deck around the preview card from hassan gwyn scroll shaman a little bit hard to pronounce for german but it's an uh it's all right fruit scroll shaman i built a deck around that and i played an historic event uh event with it where you can win gold and i will use that gold to get a very interesting emote you see it here of course it's the complicated emote and you see that this costs 000 gold to get it i right now have 4 800 so i need to get a few wins in this um…,,,a song Win → hassan gwyn; Win → fruit; motherfucker → __; fucking → __,,0
2021-04-19,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",GSFoXDxBzyM,late,03:23:06,03:22:36–03:23:36,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=12186s,0.615,11,20,don't fucking get yours the fucking cruisers fix helicopters dude i can't fucking can't i buy you guys are cringe i'll see you gotta be an ms uh just fucking send me no just fucking send me no okay you know just fucking send me no just do that bro it's it's funny because it's like it's like mickey blast toys role playing as a character mickey who is role playing uh as uh xqc's role play that uh sounds like fucking myth doing an xqc impression this is the most kajimbo shit he sounds like fucking myth doing uh xqc h…,six helicopters dude ah i can't [ __ ] can't i but you guys are cringing oh see you go to bananas uh just [ __ ] send me [ __ ] excitement no just [ __ ] send me nah okay you know what just [ __ ] sent me no just do that bro it's it's funny because it's like it's like mickey blast toys role-playing is a character mickey who is role-playing uh as uh xqc's play that uh sounds like [ __ ] myth doing an xqc impression this is the most kajimbo [ __ ] [ __ ] question straight up he sounds like [ __ ] myth doing uh xqc h…,Myth,Myth,fucking → __; buy → but; cringe i'll → cringing oh; gotta be an ms → go to bananas; fucking → __,caption disagreement,3
2021-05-11,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",efOqmjyE1RU,early,00:02:37,00:02:07–00:03:07,https://www.youtube.com/watch?v=efOqmjyE1RU&t=157s,0.703,5,12,"Or even the Zionists of my school think what Israel what Israel's doing is fucked terrible fucking take The bombing of civilian homes in Gaza Strip now, dude, I can't show that what the fuck you said is Okay, never mind It's not there is no blood or to us, but I mean look at this shit Andrew Yang is close to locking down almost universal support among",[ __ ] terrible [ __ ] tank the bombing of civilian homes on gaza strip now dude i can't show that what the [ __ ] you said jesus christ okay never mind it's not there is no blood or tos but i mean look at this [ __ ] andrew yang is close to locking down almost universal support among leaders of new york city's ultra,Andrew Yang; Gaza Strip,Andrew Yang,fucking take → __ tank; in → on; is → jesus christ; to us → tos,lower caption agreement,1
2021-05-11,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",efOqmjyE1RU,first_quarter,00:14:08,00:13:38–00:14:38,https://www.youtube.com/watch?v=efOqmjyE1RU&t=848s,0.926,12,32,"Fuck is this welcome to the new zionist congress the name every jew who has lit a candle in darkness. We're here to build a bonfire I mean you're like yo this kid is so fucking famous. He's got 218 likes dude Israel is striking military targets hamas attempting to strike civilian population centers the same hamas and torres for entrapping men women and children In your danger to provoke international outrage. That is terrorism. You are helping no palestinian by excusing it. Yeah, dude like Good take from the human…",congress the name every jew who has lit a candle in darkness we're here to build a bonfire i mean you're like yo this kid is so [ __ ] famous he's got 218 likes dude israel is striking military targets hamas attempting to strike civilian population centers the same hamas and stories for entrapping men women and children near danger to provoke international outrage that is terrorism you are helping no palestinian excusing it yeah dude mike good take from the human rights watch uh oh jesus can't believe human rights…,,,fucking → __; torres → stories; In your → near; like → mike; shake the jarah → sheikh jarrah,,0
2021-05-11,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",efOqmjyE1RU,middle,00:26:12,00:25:42–00:26:42,https://www.youtube.com/watch?v=efOqmjyE1RU&t=1572s,0.867,10,27,"acts at Al-Aqsa Mosque. We will hold you accountable, Israeli intelligence because we're likely using a GPS system like the one for Corona outbreaks. Self-defense is something we stand by on behalf of Israel and every other country. Yeah, but do you think that a Israeli military response to the rockets coming in, that a military response to the rockets coming in is covered by this broader rubric of self-defense, right? Self-defense often does authorize the use of force. Thank you, Matt. I want to ask you about Isr…",al-aqsa mosque we will hold you accountable israeli intelligence because we're likely using a gps system like the one for corona outbreaks self-defense is something um we uh uh we stand by uh on behalf of israel israeli military response to the rockets coming in it it that a military response to the rockets coming in is covered by this broader rubric of self-defense right self self defense often does uh uh authorize the use of forces thank you matt i want to ask about you jerusalem but let's talk about what you sa…,Al-Aqsa Mosque; Do Palestinians,,force → forces; about Israel → jerusalem; Palestinians → palestinian; Said → saeed uh,,0
2021-05-11,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",efOqmjyE1RU,third_quarter,00:38:15,00:37:45–00:38:45,https://www.youtube.com/watch?v=efOqmjyE1RU&t=2295s,0.894,11,28,"So having said that, another action that Brooklyn dude is 100% from my neighborhood, Borough Park. I feel so embarrassed. They're sick in the head and don't want them claiming ignorance. The other part about this that is fucking awesome, great, just normal shit, normal things is, for example, earlier, why did they, teenagers, they were looking for a 44-year-old? Because that's the justification for murdering a fucking Palestinian teenager, which happens quite regularly. It's just, come on, they were just looking f…",so having said that another action that brooklyn dude is 100 from my neighborhood borough park i feel so embarrassed they're sick in the head don't let them claim ignorance um the other part about this that is uh [ __ ] awesome uh great just a normal [ __ ] normal things is for example earlier why did they teenagers as they were looking for a 44 year old because that's the justification for murdering a [ __ ] palestinian teenager which happens quite regularly it's just come on they were just looking for a for a 44…,Borough Park,,want → let; claiming → claim; fucking → uh __; fucking → __,,0
2021-05-11,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",efOqmjyE1RU,late,00:49:46,00:49:16–00:50:16,https://www.youtube.com/watch?v=efOqmjyE1RU&t=2986s,0.844,7,12,"Yeah, okay, I Am going to no no resident evil aid today because I already I Already finished it I'm gonna I'm gonna run up three minutes out here and end it I'm gonna go hang out with my mom and dad Okay, they're here. They're waiting for me So I'm gonna end it on nine hours today. Okay, and we'll figure out what to play tomorrow",okay i am going to uh no no resident evil 8 today because i already uh i already finished it um i'm gonna i'm gonna run a three-minute ad here and end it i'm gonna go hang out with my mom and dad okay they're here they're waiting for me so i'm gonna end it on nine hours today okay,,,aid → 8; up → a; minutes out → minute ad,,0
2021-05-28,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",UE7qFMkq8fk,early,00:06:32,00:06:02–00:07:02,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=392s,0.891,10,23,"I don't know why everybody said the one where they said you dressed like you're poor The thing you're just getting death threats is low We got a bunch after him calling Aiden Ross a normie Dude the the people that want to murder me are a little bit different than like 14-year-old kids on the internet Who act like they're black, but they're actually from Naperville? Okay As sadge They don't act like they're black instead. They larp as Nazis. They're still 14, but then there's the you know really really creepy Older…",i don't know why everybody said the one where they said you dress like you're poor good thing you're just getting death threats and slowly got a bunch after him calling aiden ross and normie hassle dude the the people that want to murder me are a little bit different than like 14 year old kids on the internet who act like they're black but they're actually from naperville okay as saj they don't act like they're black instead they larp as nazis they're still 14 but then there's the you know really really creepy uh…,Aiden Ross; Okay As; Older Nazis,,dressed → dress; The → good; is low We → and slowly; a → and; sadge → saj,,0
2021-05-28,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",UE7qFMkq8fk,first_quarter,00:35:18,00:34:48–00:35:48,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=2118s,0.888,11,25,"You guys know how I've met in real life, bro, you blow up during COVID. I've literally never seen you outside. Yeah, that's true This isn't an excuse for his behavior and the way he acts when he's playing with other streamers at all But I do understand why he doesn't like role-playing with other streamers Any comment is literally an example of what they're talking about. Yeah. Yeah. Oh, absolutely apps fucking Lutely Cuz like it takes on a different layer of parasocial behavior. It's very odd. It's like it's like…",life bro you blew up during clover i've literally never seen you outside yeah that's true um this isn't an excuse for his behavior and the way he acts uh uh when he's playing with other streamers at all but i do understand why he uh doesn't like role playing with other streamers any comment is literally an example of what they're talking about yeah yeah oh absolutely abso [ __ ] lutely because like it takes on a different layer of parasocial behavior it's very odd it's like it's like you having a parasocial uh lov…,Lutely Cuz,,blow → blew; COVID → clover; apps fucking → abso __; Cuz → because; the → a,,0
2021-05-28,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",UE7qFMkq8fk,middle,01:05:23,01:04:53–01:05:53,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=3923s,0.604,2,10,and joking dude really this map is insanity she's back and she's got fucking hats on her gun,[Music] thanks chad [Music] thank you this is oh my g are you [ __ ] joking dude really this map is insanity is this a [Music] she's back and she's got [ __ ] hats on her gun,,,fucking → __,caption disagreement,3
2021-05-28,"2/2 HasanAbi May 26, 2021 – LSF, New Twitch Atlas, 90 DAY FIANCE 🎮FINISHING Mario Odyssey🎮 FULL VOD",UE7qFMkq8fk,third_quarter,01:35:28,01:34:58–01:35:58,https://www.youtube.com/watch?v=UE7qFMkq8fk&t=5728s,0.792,5,13,I feel like run again. Was it why run with why or no? Oh shit in this situation boys. That was That was very very crazy that I know I have to dodge the circle on the ground. I get that but like That was insanity right there I did the hardest fucking part and then I got clapped up on the on the easiest shit dude Am I swiping okay? I need this I need this am I swiping at that chatters,that's like a like a super unfortunate situation boys that was that was very very crazy that i know i have to dodge the circles on the ground i i get that but like that was insanity right there [Music] [Music] i did the hardest [ __ ] part and then i got clapped up on the on the easiest [ __ ] dude am i swiping okay i need this i need this am i swiping at that shatters,,,I feel → that's; circle → circles; fucking → __; chatters → shatters,,0
